time,#stopislam,#notinmyname,kafir
2013-01-01,0.0,4,1747
2013-01-02,0.0,4,1733
2013-01-03,1.0,4,1655
2013-01-04,0.0,8,1749
2013-01-05,3.0,12,2652
2013-01-06,0.0,9,2804
2013-01-07,1.0,4,2614
2013-01-08,1.0,9,2195
2013-01-09,0.0,8,1920
2013-01-10,3.0,13,1872
2013-01-11,0.0,13,2156
2013-01-12,0.0,22,1894
2013-01-13,1.0,14,1766
2013-01-14,1.0,17,2045
2013-01-15,1.0,20,2035
2013-01-16,0.0,9,2416
2013-01-17,0.0,26,2430
2013-01-18,2.0,5,1981
2013-01-19,1.0,6,1986
2013-01-20,0.0,9,2816
2013-01-21,1.0,11,2609
2013-01-22,1.0,11,1910
2013-01-23,0.0,7,2201
2013-01-24,2.0,6,1974
2013-01-25,0.0,6,2386
2013-01-26,1.0,3,2018
2013-01-27,0.0,8,2134
2013-01-28,0.0,7,2082
2013-01-29,1.0,11,2025
2013-01-30,1.0,5,1908
2013-01-31,2.0,12,1797
2013-02-01,0.0,6,2437
2013-02-02,0.0,12,2239
2013-02-03,1.0,9,2757
2013-02-04,5.0,7,2966
2013-02-05,2.0,27,2568
2013-02-06,0.0,9,2461
2013-02-07,0.0,5,2425
2013-02-08,5.0,6,2365
2013-02-09,1.0,7,2511
2013-02-10,2.0,3,2398
2013-02-11,0.0,3,2347
2013-02-12,5.0,3,2296
2013-02-13,4.0,11,2208
2013-02-14,0.0,13,2143
2013-02-15,0.0,20,2150
2013-02-16,2.0,11,2241
2013-02-17,0.0,10,2342
2013-02-18,1.0,6,2153
2013-02-19,1.0,4,2624
2013-02-20,0.0,8,2291
2013-02-21,0.0,18,2412
2013-02-22,2.0,5,2053
2013-02-23,1.0,8,2302
2013-02-24,1.0,5,2583
2013-02-25,3.0,14,2433
2013-02-26,1.0,13,2564
2013-02-27,3.0,21,2188
2013-02-28,5.0,8,2400
2013-03-01,4.0,5,2532
2013-03-02,2.0,12,2459
2013-03-03,0.0,9,2351
2013-03-04,2.0,38,2658
2013-03-05,1.0,16,2653
2013-03-06,3.0,38,2335
2013-03-07,2.0,12,2325
2013-03-08,1.0,7,2486
2013-03-09,0.0,9,2883
2013-03-10,1.0,24,2650
2013-03-11,3.0,12,2334
2013-03-12,0.0,4,2401
2013-03-13,24.0,15,2452
2013-03-14,14.0,4,2458
2013-03-15,0.0,14,2599
2013-03-16,17.0,11,2865
2013-03-17,3.0,5,2776
2013-03-18,2.0,19,2581
2013-03-19,1.0,27,2371
2013-03-20,1.0,14,2462
2013-03-21,3.0,14,2460
2013-03-22,0.0,11,2849
2013-03-23,0.0,13,2688
2013-03-24,2.0,7,2370
2013-03-25,0.0,12,2555
2013-03-26,2.0,6,2597
2013-03-27,0.0,7,2261
2013-03-28,0.0,8,2590
2013-03-29,7.0,24,3009
2013-03-30,2.0,18,3636
2013-03-31,3.0,18,2906
2013-04-01,0.0,30,3161
2013-04-02,0.0,7,3431
2013-04-03,1.0,3,3207
2013-04-04,0.0,8,3021
2013-04-05,0.0,4,3089
2013-04-06,0.0,7,4004
2013-04-07,0.0,9,3883
2013-04-08,0.0,20,3899
2013-04-09,2.0,12,3573
2013-04-10,1.0,33,3321
2013-04-11,1.0,9,3315
2013-04-12,1.0,13,3569
2013-04-13,0.0,9,3295
2013-04-14,2.0,19,2919
2013-04-15,8.0,17,2813
2013-04-16,0.0,87,2942
2013-04-17,2.0,105,2771
2013-04-18,1.0,43,2778
2013-04-19,8.0,20,2658
2013-04-20,2.0,58,2702
2013-04-21,1.0,16,2783
2013-04-22,4.0,9,2809
2013-04-23,4.0,18,2850
2013-04-24,4.0,31,2810
2013-04-25,5.0,13,2803
2013-04-26,1.0,21,2665
2013-04-27,1.0,35,2619
2013-04-28,0.0,13,2930
2013-04-29,1.0,13,3134
2013-04-30,4.0,13,3243
2013-05-01,2.0,15,2680
